Disease,Category,Symptoms,Prevention,Risk_Level
Primary ovarian insufficiency,Cardiovascular,"Irregular or missed periods. This symptom might be present for years. It also could develop after a pregnancy or after stopping birth control pills; Trouble getting pregnant; Hot flashes and night sweats; Vaginal dryness; Anger, depression or anxiety; Trouble with focus or memory; Less sexual desire",,High
Premenstrual syndrome (PMS),Mental Health,"The list of potential signs and symptoms for premenstrual syndrome is long, but most women only experience a few of these problems",,Low
Bedsores (pressure ulcers),Digestive,"Changes in skin color or texture; Swelling; Pus-like draining; An area of skin that feels cooler or warmer to the touch than other areas; Sore areas; Bedsores fall into one of several stages based on their depth, how serious they are and other features",Frequently change your position to avoid stress on the skin; Take good care of your skin; Eat and drink regularly; Quit smoking; Manage stress; Exercise daily,High
Primary biliary cholangitis,Cardiovascular,"More than half of people with primary biliary cholangitis do not have any noticeable symptoms when diagnosed; Common early symptoms include:; Fatigue; Itchy skin; Later signs and symptoms may include:; Yellowing of the skin and eyes, called jaundice; Dry eyes and mouth; Pain in the upper right abdomen",,High
Polycythemia vera,Cancer,"Many people with polycythemia vera don't notice symptoms. Some people get symptoms such as headache, dizziness, tiredness and blurred vision; Clearer symptoms of polycythemia vera include:",,High
Anal itching,Infectious,"Symptoms of anal itching may include intense itching, inflammation, burning and soreness",,High
Itchy skin (pruritus),Skin,"Inflamed skin; Scratch marks; Bumps, spots or blisters; Dry, cracked skin; Leathery or scaly patches; Sometimes itchiness lasts a long time and can be intense",,High
Post-traumatic stress disorder (PTSD),Mental Health,"Post-traumatic stress disorder symptoms may start within the first three months after a traumatic event; Generally,PTSDsymptoms are grouped into four types: intrusive memories, avoidance, negative changes in thinking and mood, and changes in physical and emotional reactions","After surviving a traumatic event, many people havePTSD-like symptoms at first, such as not being able to stop thinking about what's happened; Getting timely help and support may prevent usual stress reactions from getting worse and leading toPTSD; Support from others also may prevent you from turning to unhealthy coping methods, such as misusing alcohol or drugs",High
Bags under eyes,Musculoskeletal,Mild swelling; Saggy or loose skin; Dark circles,,Medium
Post-vasectomy pain syndrome,Infectious,"Having some discomfort after vasectomy is common, but men withPVPShave pain that never seems to get better after the procedure; Signs and symptoms ofPVPSmay include:; Pain and tenderness in the scrotum; Pressure or pain after ejaculation; Dull ache in one or both testicles; Pain and tenderness at the site of the vasectomy; Swelling of the small, C-shaped tube behind the testicle where sperm are stored (epididymis); Pain with sex",,High
Kidney infection,Infectious,"Fever; Chills; A burning feeling or pain when urinating; Having to urinate often; A strong, lasting urge to urinate; Back, side or groin pain; Nausea and vomiting; Pus or blood in the urine","Drink fluids, especially water.Fluids can help remove bacteria from the body when you urinate; Urinate as soon as you need to.Don't delay urinating when you feel the urge; Empty the bladder after sexual intercourse.Urinating as soon as possible after sex helps clear bacteria from the urethra. This lowers the risk of infection; Wipe carefully.Wipe from front to back after urinating and after a bowel movement. This helps prevent bacteria from spreading to the urethra; Avoid using products in the genital area.Deodorant sprays in the genital area or douches can be irritating",High
REM sleep behavior disorder,Neurological,"With REM sleep behavior disorder, instead of experiencing the normal temporary paralysis of your arms and legs (atonia) during REM sleep, you physically act out your dreams; The onset can be gradual or sudden, and episodes may occur occasionally or several times a night. The disorder often worsens with time; Symptoms of REM sleep behavior disorder may include:; Movement, such as kicking, punching, arm flailing or jumping from bed, in response to action-filled or violent dreams, such as being chased or defending yourself from an attack; Noises, such as talking, laughing, shouting, emotional outcries or even cursing; Being able to recall the dream if you awaken during the episode",,Medium
Tachycardia,Cardiovascular,"Some people with tachycardia have no symptoms. The fast heartbeat may be discovered when a physical exam or heart tests are done for another reason; In general, tachycardia may cause these symptoms:; Racing, pounding heartbeat or flopping in the chest, called palpitations; Chest pain; Fainting; Lightheadedness; Rapid pulse; Shortness of breath","The best way to prevent tachycardia is to keep the heart healthy; Try these tips to prevent heart disease and keep the heart healthy:; Don't smoke; Eat a diet that's low in salt and saturated fat; Exercise at least 30 minutes a day on most days of the week; Maintain a healthy weight; Reduce and manage stress; Control high blood pressure, high cholesterol and diabetes",High
Poison ivy rash,Skin,"Redness; Itching; Swelling; Blisters; Difficulty breathing, if you've inhaled the smoke from burning poison ivy; Poison ivy rash often appears in a straight line because of the way the plant brushes against your skin; The severity of the rash depends on the amount of urushiol that gets on your skin","Avoid the plants; Wear protective clothing.If needed, protect your skin by wearing socks, boots, pants, long sleeves and heavy gloves; Remove or kill the plants; Wash your skin or your pet's fur; Clean contaminated objects; Apply a barrier cream.Try over-the-counter skin products that are intended to act as a barrier between your skin and the oily resin that causes poison ivy rash",High
Dyslexia,Neurological,"Signs of dyslexia can be difficult to recognize before your child enters school, but some early clues may indicate a problem",,Medium
Medication overuse headaches,Neurological,Happen every day or nearly every day. These headaches often wake people from sleep; Improve with pain medicine but then return as the medicine wears off; Other symptoms may include:; Nausea; Restlessness; Trouble concentrating; Memory problems; Irritability,"Take your headache medicine as prescribed; Contact your healthcare professional if you need headache medicine more than twice a week; Don't take medicines that have butalbital or opioids if possible; Use painkillers you can get without a prescription fewer than 14 days a month; Limit use of triptans or combined pain relievers to no more than nine days a month; Taking care of yourself can help prevent most headaches; Stay away from headache triggers; Get enough sleep.Go to bed and wake up at the same time every day, even on weekends",High
Solitary rectal ulcer syndrome,Digestive,"However, some people with solitary rectal ulcer syndrome may experience no symptoms",,High
Bile reflux,Digestive,"Bile reflux can be difficult to distinguish from gastric acid reflux. The signs and symptoms are similar, and the two conditions may occur at the same time; Bile reflux signs and symptoms include:",,High
Vesicoureteral reflux,Digestive,"Vesicoureteral reflux symptoms often are due to a urinary tract infection (UTI). AUTIdoesn't always cause symptoms, but most people notice some; These symptoms can include:; A strong, constant urge to urinate; A burning feeling when urinating; The need to pass small amounts of urine often; Cloudy urine; Fever; Pain in the side, groin or stomach area",,High
Mitral valve regurgitation,Cardiovascular,"Mitral valve regurgitation is often mild and develops slowly. Some people do not have symptoms for many years; But sometimes, mitral valve regurgitation develops quickly. When this happens, it's called acute mitral valve regurgitation; Fatigue is a common but nonspecific symptom of mitral valve regurgitation. Other symptoms of mitral valve regurgitation include:; Irregular heartbeat, called an arrhythmia; Shortness of breath, especially when lying down; Feelings of a rapid, pounding or fluttering heartbeat, called palpitations; Swollen feet or ankles",,High
Renal artery stenosis,Cardiovascular,"High blood pressure that begins suddenly or gets worse without a known cause; High blood pressure that begins before age 30 or after age 55; As renal artery stenosis advances, other signs and symptoms may include:; High blood pressure that's hard to manage; A whooshing sound as blood flows through a narrowed vessel, called a bruit; Fluid buildup and swelling in the body's tissues",,Medium
Kidney stones,Infectious,"A kidney stone usually doesn't cause symptoms until it moves around within the kidney or passes into one of the ureters; If a kidney stone gets stuck in one of the ureters, it may block the flow of urine and cause the kidney to swell and the ureter to spasm; Serious, sharp pain in the side and back, below the ribs; Pain that spreads to the lower stomach area and groin; Pain that comes in waves and varies in how intense it feels; Pain or a burning feeling while urinating; Other symptoms may include:; Pink, red or brown urine",Prevention of kidney stones may include a mix of lifestyle changes and medicines,Medium
Nonallergic rhinitis,Skin,"Nonallergic rhinitis most often doesn't cause an itchy nose, eyes or throat. That symptom is linked with allergies such as hay fever",,Medium
Tinnitus,Ear/Nose/Throat,"Buzzing; Roaring; Clicking; Hissing; Humming; Most people who have tinnitus have subjective tinnitus, or tinnitus that only you can hear; In rare cases, tinnitus can occur as a rhythmic pulsing or whooshing sound, often in time with your heartbeat","In many cases, tinnitus is the result of something that can't be prevented. However, some precautions can help prevent certain kinds of tinnitus; Use hearing protection; Turn down the volume; Take care of your cardiovascular health; Limit alcohol, caffeine and nicotine.These substances, especially when used in excess, can affect blood flow and contribute to tinnitus",Low
Restless legs syndrome,Other,"Uncomfortable sensations that begin while resting; Relief with movement.The sensation ofRLSlessens with movement. Stretching, jiggling the legs, pacing or walking may improve symptoms; Worsening of symptoms in the evening.Symptoms occur mainly at night; Nighttime leg twitching; People typically describeRLSsymptoms as compelling, unpleasant feelings in the legs or feet; The sensations are felt within the leg rather than on the skin. They're described as:; Crawling; Creeping",,Medium
Intermittent explosive disorder,Infectious,"Impulsive attacks and angry outbursts occur suddenly, with little or no warning; Before an aggressive bout, you may feel:; Rage; Irritability; More tension and energy; Racing thoughts; Tingling; Shaking","If you have intermittent explosive disorder, prevention is likely beyond your control unless you get treatment from a mental health professional; After you start treatment, follow the plan and practice the skills you learn. If medicine is prescribed, be sure to take it. Do not use alcohol or drugs; When possible, leave or avoid situations that upset you",High
Measles,Infectious,"Measles symptoms show up around 7 to 14 days after contact with the virus; The first symptoms usually are:; About 2 to 3 days after the first symptoms, you also may see tiny white spots inside the mouth, called Koplik spots; About 3 to 5 days after symptoms first start, or about 14 days after you come into contact with the virus, it's common to see a rash; A person with measles can spread the virus four days before the rash appears and four days after","The U; For the small group of people who get measles after being fully vaccinated, illness symptoms tend to be mild; In the United States, the measles vaccine is made from a weakened measles virus; Measles vaccines offered outside the United States may protect against measles only or a combination of measles, mumps, rubella and varicella; Most people can get the measles vaccines; Do not get the vaccine if you've had a serious allergic reaction after the first dose of MMR or MMRV or the antibiotic medicine neomycin; Check with a healthcare professional before getting a measles vaccine if you:; If you have questions about whether you should get a measles vaccine, talk to your healthcare professional",High
Patellofemoral pain syndrome,Musculoskeletal,Walking up or down stairs; Kneeling or squatting; Sitting with a bent knee for long periods of time,"Sometimes knee pain just happens. But certain steps may help prevent the pain; Build strength.Strong leg and hip muscles help keep the knee balanced during activity. Avoid deep squatting during weight training; Move safely; Lose excess pounds.If you're overweight, losing weight relieves stress on the knees; Warm up.Before running or doing other exercise, warm up with five minutes or so of light activity; Stretch.Promote flexibility with gentle stretching exercises; Build up slowly.Don't suddenly increase your workouts; Mind your shoes.Wear shoes that fit well and are designed for the activity",Low
Herniated disk,Neurological,"Most herniated disks occur in the lower back, but they also can occur in the neck; Arm or leg pain; Numbness or tingling.People who have herniated disks often have radiating numbness or tingling in the body part served by the affected nerves; Weakness.Muscles served by the affected nerves tend to weaken. This can cause you to stumble or affect your ability to lift or hold items; You can have a herniated disk without symptoms. You might not know you have it unless it shows up on a spinal image","Exercise.Strengthening the trunk muscles stabilizes and supports the spine; Maintain good posture; Maintain a healthy weight.Excess weight puts more pressure on the spine and disks, making them more susceptible to herniation; Quit smoking.Avoid the use of any tobacco products",High
Seasonal affective disorder (SAD),Mental Health,"In most cases, seasonal affective disorder (SAD) symptoms appear during late fall or early winter and go away during the sunnier days of spring and summer; Signs and symptoms of SAD may include:","There's no known way to prevent the development of Seasonal affective disorder (SAD); Some people find it helpful to begin treatment before symptoms would normally start in the fall or winter, and then continue treatment past the time symptoms would normally go away",Medium
Salmonella infection,Digestive,"Salmonella infection is usually caused by eating raw or undercooked meat, poultry, and eggs or egg products or by drinking unpasteurized milk; Possible signs and symptoms of salmonella infection include:; Signs and symptoms of salmonella infection generally last a few days to a week; A few varieties of salmonella bacteria result in typhoid fever, a sometimes deadly disease that is more common in developing countries","The U; You can avoid getting salmonella and spreading bacteria to others in several ways, including safely preparing food, hand-washing, avoiding contamination, and not eating raw meat, dairy or egg products; Preventive methods are especially important when preparing food or providing care for infants, older adults and people with weakened immune systems",High
Spontaneous coronary artery dissection (SCAD),Cardiovascular,"Chest pain or pressure; Pain in the arms, shoulders, back or jaw; Shortness of breath; Unusual sweating; Extreme tiredness; Upset stomach; A rapid heartbeat or fluttery feeling in the chest; Feeling dizzy",,High
Scarlet fever,Infectious,Signs and symptoms of scarlet fever also include:; The rash and the redness in the face and tongue usually last about a week,"If your child has scarlet fever, wash drinking glasses and utensils in hot soapy water or in a dishwasher after your child uses them",Medium
Spinal cord injury,Neurological,"The ability to control your arms or legs after a spinal cord injury depends on two factors; The lowest part of the spinal cord not damaged after an injury is known as the neurological level of the injury; Complete.If all feeling and all ability to control movement are lost below the spinal cord injury, the injury is called complete; Incomplete; Loss of feeling and control of movement is known as paralysis. Paralysis from a spinal cord injury can be referred to as:; Tetraplegia, also known as quadriplegia.This means that your arms, hands, trunk, legs and pelvic organs are all affected by your spinal cord injury; Paraplegia.This paralysis affects all or part of the trunk, legs and pelvic organs but not the arms; Your healthcare team performs a series of tests to determine the neurological level and completeness of your injury",Drive safely; Check water depth before diving; Prevent falls; Take precautions when playing sports; Don't drink and drive.Don't drive after drinking alcohol or while under the influence of drugs. Don't ride with a driver who has been drinking,High
Scleroderma,Cardiovascular,"Scleroderma symptoms vary from person to person, depending on which parts of the body are affected",,High
Brain metastases,Cancer,"Symptoms caused by brain metastases can vary. They depend on location, size and how fast they're growing; Symptoms of brain metastases include:; Headache, sometimes with vomiting or nausea; Mental changes, such as increasing memory problems; Seizures; Weakness or numbness on one side of the body; Vision changes; Difficulty speaking or understanding language",,High
Epilepsy,Neurological,"Temporary confusion; A staring spell; Stiff muscles; Uncontrollable jerking movements of the arms and legs; Loss of consciousness; Psychological symptoms such as fear, anxiety or deja vu; Sometimes people with epilepsy may have changes in their behavior. They also may have symptoms of psychosis; Most people with epilepsy tend to have the same type of seizure each time. Symptoms are usually similar from episode to episode",,Medium
Febrile seizure,Neurological,"Usually, a child having a febrile seizure shakes all over and loses consciousness; A child having a febrile seizure may:; Febrile seizures are classified as simple or complex:; Febrile seizures most often occur within 24 hours of the onset of a fever and can be the first sign that a child is ill","Most febrile seizures occur in the first few hours of a fever, during the initial rise in body temperature",High
Tonic-clonic (grand mal) seizure,Neurological,Tonic phase; Clonic phase; The following symptoms occur in some but not all people with tonic-clonic seizures:; Loss of bowel and bladder function.This may happen during or following a seizure; Not responding after convulsions.The person may not become conscious for several minutes after convulsions have ended; Confusion.The person often is disoriented after a tonic-clonic seizure. This is referred to as postictal confusion; Fatigue.Sleepiness is common after a tonic-clonic seizure; Bad headache.Headaches may occur after a tonic-clonic seizure,,High
Temporal lobe seizure,Neurological,"An odd feeling called an aura may happen before a temporal lobe seizure; The aura is the first part of a focal seizure before a loss of consciousness; Examples of auras include:; A sudden sense of fear or joy; A feeling that what's happening has happened before, known as deja vu; A sudden or strange odor or taste; A rising feeling in the belly that feels like being on a roller coaster; Sometimes temporal lobe seizures keep people from responding to others. This type of temporal lobe seizure most often lasts 30 seconds to 2 minutes",,High
Ventricular septal defect (VSD),Cardiovascular,"Symptoms of serious heart problems present at birth (congenital heart defects) often appear during the first few days, weeks or months of a child's life; Symptoms of a ventricular septal defect (VSD) depend on the size of the hole and if there are any other heart problems. A small VSD may never cause symptoms; In general, VSD symptoms in a baby may include:; Symptoms of a ventricular septal defect in adults may include:","If you have a family history of heart problems present at birth, consider talking with a genetic counselor and a heart doctor (cardiologist) before getting pregnant",High
Severe acute respiratory syndrome (SARS),Respiratory,"After about a week, symptoms can include a dry cough and shortness of breath",Follow these steps for at least 10 days after the person′s fever has gone away and any breathing symptoms have gotten better,High
Female sexual dysfunction,Other,"Low sexual desire.This most common of female sexual dysfunctions involves a lack of interest in sex and not wanting to have sex; Sexual arousal disorder.Even if you want sex, sometimes it may be hard to get or stay aroused during sex; Orgasmic disorder.You have ongoing trouble having an orgasm even with enough sexual arousal; Sexual pain disorder.You have pain when having sex",,Low
Dislocated shoulder,Musculoskeletal,"A visibly deformed or out-of-place shoulder; Swelling or bruising; Intense pain; Inability to move the joint; Shoulder dislocation can also cause numbness, weakness or tingling near the injury, such as in the neck or down the arm",Take careto avoid falls and other shoulder injuries; Wear protective gearwhen playing contact sports; Exercise regularlyto maintain strength and flexibility in joints and muscles; Having a dislocated shoulder joint can increase the risk of future shoulder dislocations,High
Hantavirus pulmonary syndrome,Cardiovascular,"Some people also experience:; As the disease progresses, it can lead to damaged lung tissues, fluid build-up in the lungs, and serious problems with lung and heart function",,High
Stevens-Johnson syndrome,Skin,"As the condition develops, other signs and symptoms include:","If you've had this condition, avoid the medication that triggered it; Your immediate blood relatives also might want to avoid this drug because sometimes this condition runs in families",High
Melanoma,Cancer,A change in an existing mole; The development of a new pigmented or unusual-looking growth on the skin; Melanoma doesn't always begin as a mole. It also can happen on otherwise healthy skin; Melanomas symptoms can happen anywhere on the body; Melanomas also can happen in areas that aren't as exposed to the sun,Avoid tanning lamps and beds; Avoid the sun during the middle of the day; Become familiar with your skin so that you'll notice changes; Wear protective clothing; Wear sunscreen year-round,High
Heart palpitations,Cardiovascular,Heart palpitations may be felt in the throat or neck as well as the chest. They can occur during activity or at rest,,High
Central sleep apnea,Cardiovascular,"Observed episodes of not breathing during sleep; Sudden awakenings with shortness of breath; Not being able to stay asleep, known as insomnia; Excessive daytime sleepiness, known as hypersomnia; Trouble focusing; Mood changes; Morning headaches; Snoring",,High
Obstructive sleep apnea,Musculoskeletal,"Excessive daytime sleepiness; Loud snoring; Observed episodes of stopped breathing during sleep; Waking during the night and gasping or choking; Awakening in the morning with a dry mouth or sore throat; Morning headaches; Trouble focusing during the day; Mood changes, such as depression or being easily upset",,High
Insomnia,Mental Health,"Having a hard time falling asleep at night; Waking up during the night; Waking up too early; Feeling tired or sleepy during the day; Feeling cranky, depressed or anxious; Having a hard time paying attention, focusing on tasks or remembering; Making more errors or having more accidents; Having ongoing worries about sleep","Keep the time you go to bed and the time you wake up the same every day, including weekends; Stay active. Regular activity can lead to a good night's sleep; Limit naps or do not nap at all; Limit or do not use caffeine, alcohol and nicotine; Do not eat large meals or drink a lot of fluids before bed; Make your bedroom comfortable for sleep and only use it for sex or sleep; Create a relaxing bedtime ritual, such as taking a warm bath, reading or listening to soft music",Medium
Bradycardia,Cardiovascular,"Chest pain; Confusion or memory problems; Dizziness or lightheadedness; Feeling very tired, especially during physical activity; Fainting or near-fainting; Shortness of breath","Preventing heart disease may help lower the risk of bradycardia; The American Heart Association recommends these steps:; Get regular exercise.Ask your healthcare team about how much and what type of exercise is best for you; Eat nutritious foods.Eat a healthy diet that's low in salt and solid fats and rich in fruits, vegetables and whole grains; Keep a healthy weight.Being overweight increases the risk of heart disease. Talk with your care team to set realistic goals for body mass index (BMI) and weight; Control blood pressure and cholesterol; Don't smoke or use tobacco.If you smoke and can't quit on your own, talk to a healthcare professional about methods or programs to help; Limit or do not drink alcohol",High
Small bowel prolapse (enterocele),Digestive,"A pulling sensation in your pelvis that eases when you lie down; A feeling of pelvic fullness, pressure or pain; Low back pain that eases when you lie down; A soft bulge of tissue in your vagina; Vaginal discomfort and painful intercourse (dyspareunia); Many women with small bowel prolapse also experience prolapse of other pelvic organs, such as the bladder, uterus or rectum","Maintain a healthy weight.If you're overweight, losing some weight can decrease the pressure inside your abdomen; Prevent constipation.Eat high-fiber foods, drink plenty of fluids and exercise regularly to help prevent having to strain during bowel movements; Treat a chronic cough.Constant coughing increases abdominal pressure. See your doctor to ask about treatment if you have an ongoing (chronic) cough; Quit smoking.Smoking contributes to chronic coughing; Avoid heavy lifting.Lifting heavy objects increases abdominal pressure",High
Sleepwalking,Ear/Nose/Throat,"Sleepwalking usually occurs early in the night — often 1 to 2 hours after falling asleep; People who sleepwalk may:; Get out of bed and walk around; Sit up in bed and open their eyes; Have a glazed, glassy-eyed expression; Not respond or talk to others; Be hard to wake up; Be confused for a short time after waking up",,Medium
Enlarged spleen (splenomegaly),Cancer,Pain or fullness in the left upper belly that can spread to the left shoulder; A feeling of fullness without eating or after eating a small amount because the spleen is pressing on your stomach; Low red blood cells (anemia); Frequent infections; Bleeding easily,,High
Metastatic prostate cancer,Cancer,"Feeling very tired; Having to urinate more often or feeling pain when urinating; Losing weight without trying; Nausea and vomiting; Pain, which might be felt in the back, hips, pelvic area or in a bone. The pain tends to get worse over time",,High
Stuttering,Ear/Nose/Throat,"Having a hard time starting a word, phrase or sentence; Stretching out a word or sounds within a word; Repeating a sound, syllable or word; Brief silence for certain syllables or words, or pausing before or within a word; Adding extra words such as ""um"" if expecting to have problems moving to the next word; A lot of tension, tightness or movement of the face or upper body when saying a word; Anxiety about talking; Not being able to communicate well with others",,Medium
Sexually transmitted diseases (STDs),Infectious,"STDscan have a range of symptoms, including no symptoms; STIsymptoms might include:; Sores or bumps on the genitals or in the oral or rectal area; Painful or burning urination; Discharge from the penis; Unusual or odorous vaginal discharge; Unusual vaginal bleeding; Pain during sex","There are many ways to avoid or lower your risk of getting anSTD; Avoid sex or sexual activity.The most effective way to avoidSTDsis to not have sex; Stay with one uninfected partner; Wait and test; Get vaccinated; Use condoms and dental dams consistently and correctly; Don't drink alcohol excessively or use illegal drugs.If you're under the influence of these substances, you're more likely to take sexual risks; Talk to your partner",High
Progressive supranuclear palsy,Neurological,"A loss of balance while walking.A tendency to fall backward can occur very early in the disease; An inability to aim your eyes properly; Additional symptoms of progressive supranuclear palsy vary and may mimic those of Parkinson's disease and dementia; Stiffness, especially of the neck, and awkward movements; Falling, especially falling backward; Slow or slurred speech; Trouble swallowing, which may cause gagging or choking; Being sensitive to bright light",,High
Trigger finger,Endocrine,"Finger stiffness, particularly in the morning; A popping or clicking sensation as the finger moves; Tenderness or a bump in the palm at the base of the affected finger; Finger catching or locking in a bent position, which suddenly pops straight; Finger locked in a bent position; Trigger finger can affect any finger, including the thumb",,Medium
Aortic valve stenosis,Cardiovascular,"Aortic valve stenosis ranges from mild to severe; Symptoms of aortic valve stenosis may include:; Chest pain or tightness with activity; Feeling faint or dizzy or fainting with activity; Shortness of breath, especially with activity; Fatigue, especially during times of increased activity; Rapid, fluttering heartbeat; Children with aortic valve stenosis may have other symptoms such as:",Get a health checkup when you have a sore throat; Keep the heart healthy; Take care of the teeth and gums,High
Mitral valve stenosis,Cardiovascular,"Mitral valve stenosis usually worsens slowly; Symptoms of mitral valve stenosis include:; Shortness of breath, especially with activity or when you lie down; Fatigue, especially during increased activity; Swollen feet or legs; Pounding, skipping or otherwise irregular heartbeats, called arrhythmias; Dizziness or fainting; Fluid buildup in the lungs",Rheumatic fever is the most common cause of mitral valve stenosis,High
Pulmonary valve stenosis,Cardiovascular,Pulmonary valve stenosis symptoms depend on how much blood flow is blocked; Pulmonary valve stenosis symptoms may include:; Babies with pulmonary valve stenosis may have blue or gray skin due to low oxygen levels,,Medium
Pyloric stenosis,Cardiovascular,"Symptoms of pyloric stenosis usually appear within 3 to 6 weeks after birth. Pyloric stenosis is rare in babies older than 3 months; Symptoms include:; Vomiting after feeding; Constant hunger.Babies who have pyloric stenosis often want to eat soon after vomiting; Stomach contractions; Dehydration; Changes in stool.Since pyloric stenosis prevents food from reaching the intestines, babies with this condition might be constipated; Weight loss.The lack of nutrition can cause a baby not to gain weight or to lose weight",,Medium
Spinal stenosis,Neurological,Spinal stenosis often causes no symptoms,,Medium
Bee sting,Infectious,Bee sting symptoms can range from pain and swelling to a life-threatening allergic reaction; Mild reaction; Moderate reaction; Severe reaction; Multiple bee stings,"Take care when drinking sweet beverages outside. Use wide, open cups so you can see if a bee is in them. Inspect cans and straws before drinking from them; Tightly cover food containers and trash cans, as odors from them can attract insects; Clear away garbage, fallen fruit, and dog or other animal feces, as flies can attract wasps; Wear closed-toe shoes when walking outside. Don't walk through flowers; Don't use perfumes and scented hair and body products, as they can attract insects; Don't wear bright colors or floral prints, as they can attract bees; Be careful when mowing the lawn or trimming vegetation. Such activities might disturb insects in a beehive or wasp nest; Avoid being near bees, yellow jackets and hornets. For example, remove hives and nests near your home if you can do this safely",High
Jellyfish stings,Infectious,"Burning, prickling, stinging pain; Welts or tracks on the skin — a ""print"" of the tentacles' contact with the skin; Itchiness (pruritus); Swelling; Throbbing pain that radiates up a leg or an arm; Severe jellyfish stings can affect multiple body systems; Stomach pain, nausea and vomiting; Headache",Wear a protective suit; Get information about conditions; Avoid water during jellyfish season.Stay out of the water in jellyfish areas when jellyfish numbers are high,High
Scorpion sting,Digestive,"Pain, which can be intense; Numbness and tingling; Slight swelling; Warmth; Symptoms from venom that affect the whole body — usually in children who are stung — include:; A hard time breathing; Muscle twitching or thrashing; Unusual head, neck and eye movements","Remove pilesof rocks or lumber from around your house, and don't store firewood against the house or inside; Keep grass closely mowed,and prune bushes and overhanging tree branches that can provide scorpions with a path to your roof; Caulk cracks,install weatherstripping around doors and windows, and repair torn screens; Inspect and shake outgardening gloves, clothing and boots that haven't been used for a while; Take steps when you're traveling; Scorpions glow under a black light, so you might want to use one at night to look at what's around you",High
Residual limb pain,Other,"Prickling; Throbbing; Burning; Squeezing; Stabbing; Cramping; In some people, the residual limb may move by itself a little or a lot","A replacement limb, called a prothesis, that fits well can ease pressure between the residual limb and the prothesis; Some nerve issues, such as diabetic neuropathy, can make it harder to feel pain; Researchers are studying other ways to prevent residual limb pain after amputation",Medium
Infertility,Ear/Nose/Throat,The main symptom of infertility is not getting pregnant; Many couples eventually will conceive — with or without treatment,Some types of infertility can't be prevented. But the following tips may boost your chances of pregnancy,High
Suicide and suicidal thoughts,Ear/Nose/Throat,"Talking about suicide — for example, making statements such as ""I'm going to kill myself,"" ""I wish I were dead"" or ""I wish I hadn't been born""; Getting the means to take your own life, such as buying a gun or stockpiling pills; Withdrawing from social contact and wanting to be left alone; Having mood swings, such as being emotionally high one day and deeply discouraged the next; Being preoccupied with death, dying or violence; Feeling trapped or hopeless about a situation; Increasing use of alcohol or drugs; Changing normal routine, including eating or sleeping patterns","Get the treatment you need; Establish your support network; Remember, suicidal feelings are temporary",High
Supraventricular tachycardia,Cardiovascular,"The main symptom of supraventricular tachycardia (SVT) is a very fast heartbeat that may last for a few minutes to a few days; Symptoms of supraventricular tachycardia may include:; Pounding or fluttering feelings in the chest, called palpitations; A pounding sensation in the neck; Chest pain; Fainting or almost fainting; Lightheadedness or dizziness; Shortness of breath","The same lifestyle changes used to manage supraventricular tachycardia (SVT) also may help prevent it. Try these tips; Follow a heart-healthy lifestyle.Eat a nutritious diet, don't smoke, get regular exercise and manage stress; Don't use a lot of caffeine; Keep a notebook or diary of when symptoms happen; Use medicines carefully.Some medicines, including those bought without a prescription, may contain stimulants that can triggerSVT",High
Edema,Cardiovascular,"Swelling or puffiness of the tissue right under the skin, especially in legs or arms; Stretched or shiny skin; Skin that holds a dimple, also known as pitting, after it's been pressed for a few seconds; Swelling of the belly, also called the abdomen, so that it's bigger than usual; Feeling of leg heaviness",,High
Lupus,Cardiovascular,No two cases of lupus are exactly alike; The signs and symptoms of lupus that you experience will depend on which body systems are affected by the disease. The most common signs and symptoms include:,,Low
Total anomalous pulmonary venous return (TAPVR),Respiratory,"Symptoms of total anomalous pulmonary venous return (TAPVR) in babies may include trouble breathing, poor feeding and a weak pulse; Symptoms ofTAPVRmay appear soon after birth. But some people don't have symptoms until later in life; Serious congenital heart defects are often diagnosed before or soon after a child is born",,Low
Tuberculosis,Respiratory,"When TB germs survive and multiply in the lungs, it is called a TB infection. A TB infection may be in one of three stages. Symptoms are different in each stage; Primary TB infection; Most people don't have symptoms during a primary infection. Some people may get flu-like symptoms, such as:; Latent TB infection; Active TB disease; Symptoms of active TB disease in the lungs usually begin gradually and worsen over a few weeks. They may include:; Active TB disease outside the lungs; Active TB disease in the voice box is outside the lungs, but it has symptoms more like disease in the lungs","If you test positive for latent TB infection, you may need to take medicines to prevent active TB disease",High
Traumatic brain injury,Neurological,Traumatic brain injury can have wide-ranging physical and psychological effects,,High
Teeth grinding (bruxism),Neurological,"Teeth grinding or clenching, which may be loud enough to wake up your sleep partner; Teeth that are flattened, fractured, chipped or loose; Worn tooth enamel. This can expose the inner layers of your teeth; Tooth pain or sensitivity; Tired or tight jaw muscles, or a locked jaw that won't open or close all the way. Your jaw may pop and click; Jaw, neck or face pain or soreness; Jaw muscles that are larger than expected; Pain that feels like an earache, though it's not really a problem with your ear",,High
TMJ disorders,Musculoskeletal,"Pain or tenderness in the jaw; Pain in one or both temporomandibular joints; Aching pain in and around the ear; Having a hard time chewing or pain while chewing; Aching facial pain; Locking of the joint, making it hard to open or close your mouth; Headache; Neck pain",,Medium
Achilles tendinitis,Musculoskeletal,Achilles tendinitis pain most often begins as a mild ache in the back of the leg or above the heel after running or other sports activity; Achilles tendinitis can make it hard to use the affected foot,,High
